slang,normalisasi
100juta,100 juta
11milyar,11 miliar
1perampsan,1 perampasan
24karat,24 karat
2jaksa,2 jaksa
3gratisin,3 gratiskan
3hari,3 hari
3jt,3 juta
3xlipat,3 kali lipat
4turunkan,4 turunkan
5turunkan,5 turunkan
7jt,7 juta
7naikkan,7 naikkan
8turunkn,8 turunkan
a.p.h,aparat penegak hukum
abal2,abal-abal
ad,ada
adaan,keadan
adilan,keadilan
adl,adalah
adpirasi,aspirasi
agt,agustus
ahus,haus
aj,saja
aja,saja
ajalah,sajalah
aje,saja
ajh,saja
ajing,anjing
ajja,saja
akar2nya,akar-akarnya
akn,akan
akyat,rakyat
alaikum,assalamualaikum
aleh2,alih-alih
all,semua
ama,sama
aminn,aamiin
ampe,sampai
anak2,anak-anak
anak2,anak-anak
anarkhis,anarkis
ane,aneh
anget,hangat
anggauta,anggota
angota,anggota
apa2,apa-apa
apakakah,apakah
apalagiakin,apalagi akan
apasaja,apa saja
apus,hapus
aq,aku
arga,harga
artispun,artis pun
aset2,aset-aset
aset2nya,aset-asetnya
aset2asetnya,aset-asetnya
assalamu,assalamualaikum
asset,aset
ato,atau
atw,atau
ayokk,ayo
ayoo,ayo
ayooo,ayo
ayoooo,ayo
ayooooo,ayo
bab1,babi
bacot,omong kosong
bagi2,bagi-bagi
bahan2,bahan-bahan
baik2,baik
bangbang,bambang
bangsaaat,bangsat
banjingan,bajingan
banyak2,banyak-banyak
bazzer,buzzer
bbrp,beberapa
bdemo,demo
bdoh,bodoh
bego,bodoh
bejuang,berjuang
belaja,belanja
belapo,bravo
belom,belum
benar2,benar-benar
bener,benar
bensinrp,bensin rp
berapiliasi,berafiliasi
berazaskan,berasaskan
beresss,beres
berhubungs,berhubung
berhujung,berujung
berkwlitas,berkualitas
berlarut2,berlarut-larut
berlomba2,lomba
bermasarakat,bermasyarakat
bersama2,bersama-sama
bersatu,rakyat
berstetmen,berstatment
berstu,bersatu
bertangung,bertanggung
besae,besar
besar2an,besar-besaran
besatu,bersatu
betjuang,berjuang
bg,bagi
bgt,banget
bhkan,bahkan
biar,supaya
bilah,bila
biya,biaya
bkl,akan
bkn,bukan
bkr,bakar
blg,bilang
blm,belum
bln,bulan
blom,belum
blum,belum
bnr,benar
bntk,bentuk
bnyak,banyak
bodohkn,bodohkan
bohoongin,bohong
bole,boleh
boleh2,boleh-boleh
bp,bapak
brani,berani
brapa,berapa
brgerak,bergerak
bs,bisa
bubakan,bubarkan
bubarkaaannn,bubarkan
bubarkan,koruptor
bubarkan2,bubarkan
bubarkar,bubarkan
bubarkeun,bubarkan
bubarkn,bubarkan
bubarr,bubar
bubatkan,bubarkan
bubuarkan,bubarkan
budak2,budak-budak
bukanya,bukannya
buktikn,buktikan
buparkan,bubarkan
busa,bisa
bwt,buat
byak,banyak
byr,bayar
cari2,cari-cari
cmn,hanya
cocotnya,mulutnya
congor,mulut
cpt,cepat
culas,curang
cuyyy,hei
d,di
d4ri,dari
da,ada
dah,sudah
dalan,dalam
dalng,dalang
danketidakpuasan,dan ketidakpuasan
dansri,dan sri
dapet,dapat
dar,dari
dara,darah
data2,data-data
dech,deh
deek,adik
degantuntutan,dengan tuntutan
dehancur,hancur
dei,dari
dek,adik
dekret,dekrit
demon,demo
demooo,demo
denger2,denger-denger
depr,dpr
deui,lagi
dewe,sendiri
dg,dengan
dgn,dengan
dholim,zalim
diahirat,di akhirat
diam2,diam-diam
diapus,dihapus
diatas,di atas
didalam,di dalam
didepan,di depan
didhalimi,dizalimi
diemkan,diamkan
digebuk2,digebuk-gebuk
dikatan,dikatakan
dimasukan,dimasukkan
dimn,di mana
dinegri,di negeri
dinkri,di nkri
disalhkn,disalahkan
disyahkannya,disahkannya
dita,sita
ditrima,diterima
dkk,dan kawan-kawan
dl,dulu
dll,dan lain-lain
