videoId,author,likes,publishedAt,text,text_new,text_new_lower,labelling
jndkYohvj8g,@azatmicko5836,0,2025-09-19T05:57:13Z,Cuma di Bohoongin dooangann....sama Dpr..❤❤❤,Cuma di Bohoongin dooangann.sama Dpr.,cuma di bohoongin dooangann.sama dpr.,2
jndkYohvj8g,@CiledugCirebon-w9y,0,2025-09-15T10:50:19Z,Bubarkan DpR klau GK d tanggapin.,Bubarkan DpR klau GK d tanggapin.,bubarkan dpr klau gk d tanggapin.,1
jndkYohvj8g,@MandauCellular-s9p,0,2025-09-14T22:42:43Z,DPR tidak becus mau coba coba main main api,DPR tidak becus mau coba coba main main api,dpr tidak becus mau coba coba main main api,1
jndkYohvj8g,@galihfitra1130,0,2025-09-14T14:03:07Z,"Mudah""an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal",Mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,1
jndkYohvj8g,@unangpancing5025,0,2025-09-13T12:06:39Z,Warga bersiap siap lagi berdemo......bila tuntutan demo gak dipenuhin.........berdemo lebih besar lagiiiii......,Warga bersiap siap lagi berdemo.bila tuntutan demo gak dipenuhin.berdemo lebih besar lagiiiii.,warga bersiap siap lagi berdemo.bila tuntutan demo gak dipenuhin.berdemo lebih besar lagiiiii.,1
jndkYohvj8g,@viantantony7043,0,2025-09-12T23:34:48Z,Segera sahkan Ruu perampasan aset korupst!!!,Segera sahkan Ruu perampasan aset korupst!,segera sahkan ruu perampasan aset korupst!,1
jndkYohvj8g,@misyonofelis7133,0,2025-09-12T22:59:18Z,"gruduk rumahnya puan Maharani,bakar !","gruduk rumahnya puan Maharani,bakar !","gruduk rumahnya puan maharani,bakar !",1
jndkYohvj8g,@suprahonda6254,0,2025-09-12T10:48:14Z,Ya kita niru nepal saja.bubarkan dpr,Ya kita niru nepal saja.bubarkan dpr,ya kita niru nepal saja.bubarkan dpr,1
jndkYohvj8g,@NabilaNabila-o1s,0,2025-09-12T03:57:12Z,"Jika tidak di sah kan , berarti menantang RAKYAT untuk perang.....","Jika tidak di sah kan , berarti menantang RAKYAT untuk perang.","jika tidak di sah kan , berarti menantang rakyat untuk perang.",1
jndkYohvj8g,@munawarabdulhadi1536,0,2025-09-11T19:25:10Z,Hidup mahasiswa,Hidup mahasiswa,hidup mahasiswa,1
jndkYohvj8g,@node2infamous13,0,2025-09-11T09:23:53Z,Silaturahmi ke rmh ketua DPR,Silaturahmi ke rmh ketua DPR,silaturahmi ke rmh ketua dpr,1
jndkYohvj8g,@Ngajitiaphari,0,2025-09-11T05:36:41Z,Jadikan Nepal kedua,Jadikan Nepal kedua,jadikan nepal kedua,1
jndkYohvj8g,@BahrulIbadillah-d4e,0,2025-09-11T02:32:35Z,Jika koruptor di bisa lenyap dari indonesia negara ini akan rusuh dan ribut terus investor banyak yang kabur dari indonesia pengangguran makin banyak,Jika koruptor di bisa lenyap dari indonesia negara ini akan rusuh dan ribut terus investor banyak yang kabur dari indonesia pengangguran makin banyak,jika koruptor di bisa lenyap dari indonesia negara ini akan rusuh dan ribut terus investor banyak yang kabur dari indonesia pengangguran makin banyak,3
jndkYohvj8g,@juslantaje658,0,2025-09-11T02:10:10Z,"Kembangkan tuntutan kurangi setengah, : jumlah KURSI DPR / MPR DIKURANGI SETENGAH,JUMLAH KOMISARIS BUMN DIKURANGI SETENGAH, JUMLAH DIREKSI BUMN DIKURANGI SETENGAH, JUMLAH MENTERI-MENTERI PRESIDEN DIKURANGI SETENGAH, JUMLAH DINAS-DINAS / SATUAN PERANGKAT DAERAH DIKURANGI SETENGAH,,DANA DESA DIKURANGI SETENGAH..","Kembangkan tuntutan kurangi setengah, jumlah KURSI DPR MPR DIKURANGI SETENGAH,JUMLAH KOMISARIS BUMN DIKURANGI SETENGAH, JUMLAH DIREKSI BUMN DIKURANGI SETENGAH, JUMLAH MENTERI MENTERI PRESIDEN DIKURANGI SETENGAH, JUMLAH DINAS DINAS SATUAN PERANGKAT DAERAH DIKURANGI SETENGAH,DANA DESA DIKURANGI SETENGAH.","kembangkan tuntutan kurangi setengah, jumlah kursi dpr mpr dikurangi setengah,jumlah komisaris bumn dikurangi setengah, jumlah direksi bumn dikurangi setengah, jumlah menteri menteri presiden dikurangi setengah, jumlah dinas dinas satuan perangkat daerah dikurangi setengah,dana desa dikurangi setengah.",1
