videoId,author,likes,publishedAt,text,text_new,text_new_lower,labelling 1=pro 2=netral 3=kontra
jndkYohvj8g,@azatmicko5836,0,2025-09-19T05:57:13Z,Cuma di Bohoongin dooangann....sama Dpr..❤❤❤,Cuma di Bohoongin dooangann sama Dpr,cuma di bohoongin dooangann sama dpr,2
jndkYohvj8g,@widodojakarta1545,0,2025-09-17T01:05:38Z,SEMOGA NEPAL MENJALAR KE INDONESIA AAMIIN❤❤❤❤❤❤❤,SEMOGA NEPAL MENJALAR KE INDONESIA AAMIIN,semoga nepal menjalar ke indonesia aamiin,0
jndkYohvj8g,@CiledugCirebon-w9y,0,2025-09-15T10:50:19Z,Bubarkan DpR klau GK d tanggapin.,Bubarkan DpR klau GK d tanggapin,bubarkan dpr klau gk d tanggapin,1
jndkYohvj8g,@weniindriani8046,0,2025-09-15T09:54:43Z,Indo bisa LEBIH DARI nepal ..yakin,Indo bisa LEBIH DARI nepal yakin,indo bisa lebih dari nepal yakin,0
jndkYohvj8g,@MandauCellular-s9p,0,2025-09-14T22:42:43Z,DPR tidak becus mau coba coba main main api,DPR tidak becus mau coba coba main main api,dpr tidak becus mau coba coba main main api,1
jndkYohvj8g,@galihfitra1130,0,2025-09-14T14:03:07Z,"Mudah""an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal",Mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,1
jndkYohvj8g,@galihfitra1130,0,2025-09-14T14:02:53Z,"Mudah""an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal",Mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,mudah an pemerintah cepat mengabulkan tuntutan rakyat kami rakyat kecil takut indonesia seperti nepal,0
jndkYohvj8g,@unangpancing5025,0,2025-09-13T12:06:39Z,Warga bersiap siap lagi berdemo......bila tuntutan demo gak dipenuhin.........berdemo lebih besar lagiiiii......,Warga bersiap siap lagi berdemo bila tuntutan demo gak dipenuhin berdemo lebih besar lagiiiii,warga bersiap siap lagi berdemo bila tuntutan demo gak dipenuhin berdemo lebih besar lagiiiii,1
jndkYohvj8g,@viantantony7043,0,2025-09-12T23:34:48Z,Segera sahkan Ruu perampasan aset korupst!!!,Segera sahkan Ruu perampasan aset korupst,segera sahkan ruu perampasan aset korupst,1
jndkYohvj8g,@misyonofelis7133,0,2025-09-12T22:59:18Z,"gruduk rumahnya puan Maharani,bakar !",gruduk rumahnya puan Maharani bakar,gruduk rumahnya puan maharani bakar,1
jndkYohvj8g,@suprahonda6254,0,2025-09-12T10:48:14Z,Ya kita niru nepal saja.bubarkan dpr,Ya kita niru nepal saja bubarkan dpr,ya kita niru nepal saja bubarkan dpr,1
