slang,normalisasi
100juta,100 juta
10bulan,10 bulan
11milyar,11 miliar
1jt,1 juta
1perampsan,1 perampasan
24karat,24 karat
2jaksa,2 jaksa
3gratisin,3 gratiskan
3hari,3 hari
3jt,3 juta
3periode,3 periode
3xlipat,3 kali lipat
4turunkan,4 turunkan
5turunkan,5 turunkan
7jt,7 juta
7naikkan,7 naikkan
8turunkn,8 turunkan
a.p.h,aparat penegak hukum
abal2,abal-abal
ad,ada
adaan,keadan
adallah,adalah
ade,adik
adek2,adik-adik
adilan,keadilan
adl,adalah
administrafinya,administrasinya
adpirasi,aspirasi
aggt,anggota
agt,agustus
ahus,haus
aj,saja
aja,saja
ajah,saja
ajalah,sajalah
aje,saja
ajh,saja
ajing,anjing
ajja,saja
akar2nya,akar-akarnya
akn,akan
aksi2,aksi-aksi
akyat,rakyat
alaikum,assalamualaikum
aleh2,alih-alih
all,semua
ama,sama
amiiitt,amit
aminn,aamiin
ampe,sampai
anak2,anak-anak
anarkhis,anarkis
ane,aneh
angaran,anggaran
anget,hangat
anggauta,anggota
angota,anggota
anj,anjing
ank,anak
antarwaktu,antar waktu
apa2,apa-apa
apakakah,apakah
apalagiakin,apalagi akan
apasaja,apa saja
apus,hapus
aq,aku
arga,harga
artispun,artis pun
aset2,aset-aset
aset2asetnya,aset-asetnya
aset2nya,aset-asetnya
asetharta,aset harta
assalamu,assalamualaikum
asset,aset
ati,hati-hati
atip,aktif
ato,atau
atw,atau
ayokk,ayo
ayoo,ayo
ayooo,ayo
ayoooo,ayo
ayooooo,ayo
ayow,ayo
bab1,babi
bacot,omong kosong
bagi2,bagi-bagi
bahan2,bahan-bahan
baik2,baik
bangbang,bambang
bangsaaat,bangsat
banjingan,bajingan
banyak2,banyak-banyak
bayak,banyak
bayang2,bayang-bayang
bazzer,buzzer
bbn,beban
bbrp,beberapa
bdemo,demo
bdoh,bodoh
bego,bodoh
bejuang,berjuang
belaja,belanja
belakangmuj,belakangmu
belapo,bravo
belom,belum
benar2,benar-benar
bener,benar
bensinrp,bensin rp
berapiliasi,berafiliasi
berazaskan,berasaskan
beresss,beres
berhubungs,berhubung
berhujung,berujung
berkwlitas,berkualitas
berlarut2,berlarut-larut
berlomba2,lomba
bermasarakat,bermasyarakat
bersama2,bersama-sama
bersatu,rakyat
berstetmen,berstatment
berstu,bersatu
bertahun2,bertahun-tahun
bertangung,bertanggung
berti,berarti
bertubi2,bertubi-tubi
besae,besar
besar2an,besar-besaran
besatu,bersatu
betjuang,berjuang
betul2,betul-betul
bg,bagi
bgitu,begitu
bgs,bagus
bgt,banget
bgtu,begitu
bhkan,bahkan
bhw,bahwa
biar,supaya
bilah,bila
bisa2nya,bisa-bisanya
biya,biaya
biyar,supaya
bkl,akan
bkn,bukan
bkr,bakar
blg,bilang
blm,belum
bln,bulan
blom,belum
blum,belum
bnr,benar
bntk,bentuk
bnyak,banyak
bnyk,banyak
bodohkn,bodohkan
bohoongin,bohong
bole,boleh
boleh2,boleh-boleh
bp,bapak
brani,berani
brapa,berapa
brgerak,bergerak
brp,berapa
bs,bisa
bsa,bisa
btw,ngomong-ngomong
buang2,buang-buang
bubakan,bubarkan
bubarkaaannn,bubarkan
bubarkan,koruptor
bubarkan2,bubarkan
bubarkar,bubarkan
bubarkeun,bubarkan
bubarkn,bubarkan
bubarr,bubar
bubatkan,bubarkan
bubuarkan,bubarkan
budak2,budak-budak
bukanya,bukannya
buktikn,buktikan
buktiny,buktinya
buparkan,bubarkan
buruh2,buruh-buruh
busa,bisa
bwt,buat
byak,banyak
byk,banyak
byr,bayar
calon2,calon-calon
capekk,capek
cari2,cari-cari
cepat2,cepat-cepat
chaosi,chaos
cmn,hanya
cnderung,cenderung
cocotnya,mulutnya
congor,mulut
cpt,cepat
cthnya,contohnya
culas,curang
cuman1,hanya 1
cuyyy,hei
d,di
d4ri,dari
da,ada
da,dan
daerah2,daerah-daerah
dah,sudah
dalan,dalam
dalng,dalang
danketidakpuasan,dan ketidakpuasan
dansri,dan sri
dapet,dapat
dar,dari
dara,darah
daridulu,dari dulu
data2,data-data
datelinepun,deadlinepun
dech,deh
deek,adik
degantuntutan,dengan tuntutan
dehancur,hancur
dei,dari
dek,adik
dekret,dekrit
demon,demo
demooo,demo
denger2,denger-denger
depr,dpr
deui,lagi
dewe,sendiri
dg,dengan
dgn,dengan
dholim,zalim
diahirat,di akhirat
diam2,diam-diam
diapus,dihapus
diatas,di atas
didalam,di dalam
didepan,di depan
didhalimi,dizalimi
diemkan,diamkan
digebuk2,digebuk-gebuk
dikatan,dikatakan
dimasukan,dimasukkan
dimn,di mana
dinegri,di negeri
dinkri,di nkri
disahkanpemerintah,didahkan pemerintah
disalahkanpemerintah,disalahkan pemerintah
disalhkn,disalahkan
disem,disembunyikan
disuru,disuruh
disyahkannya,disahkannya
dita,sita
ditawar2,ditawar-tawar
ditrima,diterima
dkk,dan kawan-kawan
dl,dulu
dll,dan lain-lain
dlm,dalam
dlu,dulu
dmiskinkan,dimiskinkan
dn,dan
dngn,dengan
doang,saja
doank,hanya
donk,dong
dooangann,hanya
dpdr,dprd
dpt,dapat
dptkn,dapatkan
dqn,dan
dr,dari
dri,dari
dsitulah,disitulah
dsn,dan
dst,dan seterusnya
dtang,datang
dudah,sudah
duit,uang
dulor2,saudara-saudara
dwmo,demo
dy,dia
dzolim,zalim
ecek,remeh
ecekkk,remeh
egk,tidak
egoiss,egois
eksekutip,eksekutif
ekslusif,eksklusif
elu,kamu
emaknya,ibunya
emg,emang
emosinl,emosional
enak2kn,enak-enakan
enersi,energi
enteng,ringan
entenggg,enteng
enyaaahhh,pergi
erampok,perampok
ewan,dewan
extrem,ekstrem 
fak,fuck
fasiliras,fasilitas
feeling,perasaan
fikontenini,di konten ini
fisi,visi
focus,fokus
fokusss,fokus
full,penuh
g,tidak
ga,tidak
gaaas,gas (lanjutkan)
gaakan,tidak akan
gaess,guys
gajih,gaji
gajiiii,gaji
gak,tidak
ganjos,keren
gara2,gara-gara
gede,besar
gegara,gara-gara
gerakn,gerakan
ges,guys
gga,tidak
gh,tidak
gi,gitu
gila2,gila-gilaan
gila2an,gila-gilaan
gilongan,golongan
gimna,gimana
gina,guna
gini,ini
giur,tergiur
gk,tidak
glinda,gerinda
gmn,gimana
gndut,gendut
gt,gitu
gua,saya
gubar,bubar
gubarkan,bubarkan
gue,saya
guyss,guys
gw,saya
habis2an,habis-habisan
hadirrrr,hadir
hak2,hak-hak
hakim2,hakim-hakim
hal2,hal-hal
hambur2,hambur-hamburkan
hancurla,hancurlah
hancurrrrrrrrrkann,hancurkan
hannya,hanya
hapuskn,hapuskan
haramm,haram
harga2,harga-harga
hars,harus
hartabenda,harta benda
harusya,harusnya
hati2,hati-hati
hawatir,khawatir
helata,jelata
hilang2,hilang-hilang
hlg,hilang
hnya,hanya
hpus,hapus
hpuskan,hapuskan
hr,hari
hrg,harga
hrgnya,harganya
hrs,harus
hrus,harus
hti,hati
hukumn,hukum
hukumn,hukuman
hy,hanya
iangan,jangan
ibu2,ibu-ibu
ibuk,ibu
idiologi,ideologi
iku,ikut
indinesia,indonesia
indo,indonesia
indonesaia,indonesia
indonesi,indonesia
indrpenden,independen
infulencer,influencer
ingatt,ingat
inget,ingat
injak2,injak-injak
inkrah,ingkar
intropeksi,introspeksi
intuk,untuk
isyu,isu
it,itu
itu2,itu-itu
itukn,itu kan
ja,saja
jadikn,jadikan
jado,jadi
jadu,jadi
jagan,jangan
jaman,zaman
jangan2,jangan
janji2,janji
janji2,janji-janji
jarah2,jarah
jd,jadi
jdi,jadi
jemblos,coblos
jepolisian,kepolisian
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jgn,juga
jidad,jidat
jilbap,kerudung
jjika,jika
jkt,jakarta
jkw,jokowi
jln,jalan
jls,jelas
jmlh,jumlah
jng,jangan
jngan,jangan
jngn,jangan
joged,joget
joget2,joget-joget
joget2,joget-joget 
jokiwi,jokowi
jongos,budak
joooooos,keren
jorup,korupsi
jos,keren
jt,juta
judoll,judol
jujuir,jujur
justeru,justru
jwwb,jawab
k,ke
kabupatin,kabupaten
kacaw,kacau
kacung,budak
kadang2,kadang-kadang
kaga,tidak
kainnya,lainnya
kakitangannya,kaki tangannya 
kaleee,kali
kalo,kalau
kalopun,kalaupun
kalu,kalau
kanann,kanan
kapok2,kapok
karana,karena 
karitu ,begitu
karna,karena 
karyawan2,karyawan-karyawan
kasi,kasih
kasik,kasih
kataya,katanya
katena,karena
kau,kamu
kawall,kawal
kawalllllll,kawal
kawan2,kawan-kawan
kayak,seperti
kbanyakan,kebanyakan
keadlilan,keadilan
kebiadanban,kebiadaban
kebijakan2,kebijakan-kebijakan
keburukan2,keburukan-keburukan
kedholiman,kezaliman
kedoliman,kezaliman
keinaikn,kenaikan
kejaaammmm,kejam
kek,seperti 
kekampus,ke kampus
kelaarrr,kelar
kelar2,kelar-kelar
kelompok2,kelompok-kelompok
keluarga2,keluarga-keluarga
kemana2,kemana-mana
kemaren ,kemarin
kenkopolhukam,menkopolhukam
kepala2,kepala-kepala
keparaattt,keparat
kepengusaha2,kepengusaha-pengusaha
kerj,kerja
kerjaa,kerja
kerjan,kerjaan
kerje,kerja
kermh,ke rumah
kerumah,ke rumah
kesalan,kekesalan
kesing,tampilan
ketaui,ketahui
ketdk,ketidak
ketidak,ketidakadilan
ketimbang,dibandingkan
kezholiman,kezaliman
kiat,kita
kibuli,dibohongi
kira2,kira-kira
kitak,kita
kkekcauan,kekacauan
kl,kalau
klakuan,kelakuan
klau,kalau 
klau,kalau
klewat,kelewat
kllo,kalau
klo,kalau
klu,kalau
kluarkan,keluarkan
klw,kalau
kmbali,kembali
kmi,kami
kmnterian,kementrian
kmrn,kemarin
kn,kan
knp ,kenapa
ko,kok
kog,kok
kok.bubarkn,kok bubarkan
komas,komnas
komndo,komando
komplen,komplain
kontrakrp50jt,kontrak rp 50 juta
koq,kok
koropisi,korupsi
koropsi,korupsi
koruosi,korupsi
korup,korupsi
korups,korupsi
korupsih,korupsi
korupsih.itu,korupsi itu
korupst,korupsi
koruptor.rusak,koruptor rusak
koruptor2,koruptor-koruptor
koruptot,koruptor
kostl,kost
kpd,kepada
kpn,kapan
krbutuhan,kebutuhan
krinier,kinerja
krjanya,kerjanya
krn,karena
krn,karena 
krsrakahan,keserakahan 
ksh,kasih
kt,kita
kuatir,khawatir
kucing2an,kucing
kuhut,luhut
kurleb,kurang lebih
kuropspsi,korupsi
kurupsi,korupsi
kuyo2,kuyo
kwatir,khawatir
kwpolisian,kepolisian
kya,kaya
kyknya,kayaknya
la,lah
laaah,lah
laen,lain
lagih,lagi
lagiiiii,lagi
lainya,lainnya
laksanaka,laksanakan
lama2,lama-lama
lamaaaaaa,lama
lamhay,lambat
lanjutken,lanjutkan
lanjutkn,lanjutkan
larena,karena
lbeh,lebih
lbh,lebih
lbih,lebih
legowo,lapang dada
lembaga2,lembaga-lembaga
lenyapmenjijikan,lenyap menjijikan
lg,lagi
lgi,lagi
lgs,langsung
lha,lah
lho,loh
liat,lihat
lihatwajah,lihat wajah
lindungilh,lindungilah
lo,kamu
loe,loh
loo,loh
luarbisa,luar biasa
ma,sama
macam2,macam-macam
madalah,masalah
maen,main
maenan,mainan
maha2,mahal-mahal
mahacasis,mahasiswa
mahal2,mahal-mahal
mahasiwa,mahasiswa
mahukan,mau
majuu,maju
makn,makan
mala,malah
mana2,mana
mangan,makan
mangkanyagercep,makanya gercep
mantaaap,mantap
manusia2,manusia-manusia
maraoke,merauke
masaa,massa
masadepan,masa depan
masarakat,masyarakat
masharakat,masyarakat
masing2,masing-masing
